partnership,ghgrp_id,frs_id,primary_naics,oris,longitude_wgs84,latitude_wgs84,source_name,operator,address,city,state_prov_name,state_prov_abbrv,state_location,source_type,source_type_common,epa_ind_subpart,epa_sector,fuel,co2_tonne,co2_bio,year,data_source,comments,featid
SECARB,1006767,1.10E+11,336111,,-90.07168863,32.57475297,"NISSAN NORTH AMERICA INC, CANTON MANUFACTURING FACILITY",,300 NISSAN DRIVE,CANTON,MISSISSIPPI,MS,,,INDUSTRIAL,C,Other,,45786,,2013,U.S. EPA GHG Reporting Program,,4116
SECARB,1003850,1.10E+11,336111,,-86.49536482,35.96285681,"NISSAN NORTH AMERICA, INC.",,983 NISSAN DRIVE,SMYRNA,TENNESSEE,TN,,,INDUSTRIAL,C,Other,,78789,,2013,U.S. EPA GHG Reporting Program,,4117
MRCSP,1009137,1.10E+11,562212,,-74.123041,40.775058,NJMC 1-E LANDFILL,,100 BALER BOULEVARD,NORTH ARLINGTON,NEW JERSEY,NJ,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4118
MRCSP,1007866,1.10E+11,331111,,-87.16033846,41.62661884,NLMK INDIANA,,6500 S. BOUNDARY RD.,PORTAGE,INDIANA,IN,,,INDUSTRIAL,"C,Q",Metals,,122324,,2013,U.S. EPA GHG Reporting Program,,4119
MRCSP,1006013,1.10E+11,331221,,-80.50698539,41.21192809,NLMK PENNSYLVANIA CORP,,15 ROEMER BOULEVARD,FARRELL,PENNSYLVANIA,PA,,,INDUSTRIAL,C,Metals,,163641,,2013,U.S. EPA GHG Reporting Program,,4120
PCOR,1007546,1.10E+11,562212,,-97.09322628,41.78648328,NNSWC LANDFILL,,57220 825 RD,CLARKSON,NEBRASKA,NE,,,WASTE MANAGEMENT,"C,HH",Waste,,11,,2013,U.S. EPA GHG Reporting Program,,4121
MRCSP,1004850,1.10E+11,562212,,-82.48625399,40.97570796,NOBLE ROAD LANDFILL (0370000134),,170 NOBLE ROAD EAST,SHILOH,OHIO,OH,,,WASTE MANAGEMENT,"C,HH",Waste,,0,18003,2013,U.S. EPA GHG Reporting Program,,4122
BSCSP,1005200,1.10E+11,311999,,-112.3779971,43.20151777,NONPAREIL CORPORATION,,40 NORTH 400 WEST,BLACKFOOT,IDAHO,ID,,,AG PROCESSING,C,Other,,32554,,2013,U.S. EPA GHG Reporting Program,,4123
SECARB,1007929,1.10E+11,331311,,-90.67426168,30.06131741,NORANDA ALUMINA LLC,,1111 E AIRLINE AVENUE,GRAMERCY,LOUISIANA,LA,,,INDUSTRIAL,C,Metals,,825629,,2013,U.S. EPA GHG Reporting Program,,4124
MRCSP,1002572,1.10E+11,488210,,-78.38533268,40.53289805,NORFOLK SOUTHERN RAILWAY CO/JUNIATA LOCOMOTIVE SHOPS,,200 N 4TH AVE,ALTOONA,PENNSYLVANIA,PA,,,UNCLASSIFIED,C,Other,,41750,,2013,U.S. EPA GHG Reporting Program,,4125
PCOR,1007970,1.10E+11,562212,,-96.65360806,40.86710717,NORTH 48TH STREET LANDFILL,,5101 NORTH 48TH STREET,LINCOLN,NEBRASKA,NE,,,WASTE MANAGEMENT,"C,HH",Waste,,17,,2013,U.S. EPA GHG Reporting Program,,4126
WESTCARB,1003046,1.10E+11,562212,,-111.787795,33.504398,NORTH CENTER STREET LANDFILL,,13602 E. BEELINE HIGHWAY,SCOTTSDALE,ARIZONA,AZ,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4127
NATCARB,1005255,1.10E+11,562212,,-71.68940076,44.28311199,NORTH COUNTRY ENVIRONMENTAL SERVICES INC,,581 TRUDEAU ROAD,BETHLEHEM,NEW HAMPSHIRE,NH,,,WASTE MANAGEMENT,"C,HH",Waste,,33,,2013,U.S. EPA GHG Reporting Program,,4128
WESTCARB,1007197,1.10E+11,562212,,-121.10247,38.10339,NORTH COUNTY SANITARY LANDFILL,,17720 EAST HARNEY LANE,LODI,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4129
SWP,1002868,1.10E+11,211111,,-102.2980667,31.10944521,NORTH CROSS COMP STATION 4,,4.3 M W ON US 67/385,MCCAMEY,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,34360,,2013,U.S. EPA GHG Reporting Program,,4130
SECARB,1006292,1.10E+11,562212,,-80.286711,25.96761,NORTH DADE LANDFILL MIAMI-DADE SOLID WASTE MANAGEMENT,,21500 N.W. 47 AVENUE,MIAMI,FLORIDA,FL,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4131
PCOR,1007141,1.10E+11,923110,,-96.803847,46.891167,NORTH DAKOTA STATE UNIVERSITY THORSON MAINTENANCE CENTER,,1310 BOLLEY DR,FARGO,NORTH DAKOTA,ND,,,INDUSTRIAL,C,Other,,70230,,2013,U.S. EPA GHG Reporting Program,,4132
PCOR,1006172,1.10E+11,221112,,-98.38846948,40.59650801,NORTH DENVER STATION,,1228 NORTH DENVER AVENUE,HASTINGS,NEBRASKA,NE,,,ELECTRICITY,C,Power Plants,,424,,2013,U.S. EPA GHG Reporting Program,,4133
WESTCARB,1007558,1.10E+11,562212,,-117.15236,32.83582,NORTH MIRAMAR SANITARY LANDFILL,,5180 CONVOY STREET,SAN DIEGO,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4134
MRCSP,1003390,1.10E+11,562212,,-84.2579,39.69565,NORTH SANITARY LANDFILL INC PINACLE RD,,4220 PINNACLE ROAD,DAYTON,OHIO,OH,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4135
SECARB,1006303,1.10E+11,562212,,-89.97113476,35.19964451,NORTH SHELBY LANDFILL,,7111 MILLINGTON ROAD,MILLINGTON,TENNESSEE,TN,,,WASTE MANAGEMENT,"C,HH",Waste,,45,,2013,U.S. EPA GHG Reporting Program,,4136
MRCSP,1005163,1.10E+11,331111,,-84.03754851,41.56702699,NORTH STAR BLUESCOPE STEEL LLC *,,6767 COUNTY ROAD 9,DELTA,OHIO,OH,,,INDUSTRIAL,"C,Q",Metals,,238659,,2013,U.S. EPA GHG Reporting Program,,4137
SECARB,1005786,1.10E+11,562212,,-78.582116,35.905133,NORTH WAKE COUNTY LANDFILL,,9004 DEPONIE DRIVE,RALEIGH,NORTH CAROLINA,NC,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4138
SWP,1007880,1.10E+11,562212,,-104.8318101,40.58156658,NORTH WELD SANITARY LANDFILL,,40000 WELD COUNTY RD 25,AULT,COLORADO,CO,,,WASTE MANAGEMENT,"C,HH",Waste,,3263,,2013,U.S. EPA GHG Reporting Program,,4139
NATCARB,1002593,1.10E+11,562212,,-72.71710998,42.29702459,NORTHAMPTON LANDFILL,,170 GLENDALE RD,NORTHAMPTON,MASSACHUSETTS,MA,,,WASTE MANAGEMENT,"C,HH",Waste,,2,,2013,U.S. EPA GHG Reporting Program,,4140
SECARB,1005319,1.10E+11,562212,,-90.453316,36.069716,NORTHEAST ARKANSAS REGIONAL SOLID WASTE DISTRICT,,1810 GREENE 890 RD,PARAGOULD,ARKANSAS,AR,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4141
SECARB,1002558,1.10E+11,562212,,-80.683432,34.013591,NORTHEAST SANITARY LANDFILL,,1581 WESTVACO RD,EASTOVER,SOUTH CAROLINA,SC,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4142
MRCSP,1006653,1.10E+11,327999,,-73.98821138,42.07561851,NORTHEAST SOLITE CORPORATION,,962 OLD KINGS HIGHWAY,SAUGERTIES,NEW YORK,NY,,,INDUSTRIAL,C,Minerals,,56972,,2013,U.S. EPA GHG Reporting Program,,4143
NATCARB,1005277,1.10E+11,611310,,-71.11624745,42.26594863,NORTHEASTERN UNIVERSITY,,360 HUNTINGTON AVENUE,BOSTON,MASSACHUSETTS,MA,,,UNCLASSIFIED,C,Other,,33698,,2013,U.S. EPA GHG Reporting Program,,4144
PCOR,1004713,1.10E+11,325193,,-96.51312087,45.29901848,NORTHERN LIGHTS ETHANOL D.B.A POET BIOREFINING BIG STONE,,48416 144TH ST,BIG STONE CITY,SOUTH DAKOTA,SD,,,ETHANOL,C,Other,,77569,,2013,U.S. EPA GHG Reporting Program,,4145
SWP,1011127,1.10E+11,486210,,-102.8514837,32.2838911,NORTHERN NATURAL GAS - BROWNFIELD,,1776 FM 211,BROWNFIELD,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,26928,,2013,U.S. EPA GHG Reporting Program,,4146
PCOR,1002738,1.10E+11,486210,,-94.045732,42.046868,NORTHERN NATURAL GAS CO-OGDEN COMPRESSOR,,608 210TH STREET,OGDEN,IOWA,IA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,40044,,2013,U.S. EPA GHG Reporting Program,,4147
SWP,1002808,1.10E+11,486210,,-100.7290387,37.15128632,NORTHERN NATURAL GAS COMPANY - SUBLETTE,,21947 HWY 83,KISMET,KANSAS,KS,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,16597,,2013,U.S. EPA GHG Reporting Program,,4148
PCOR,1002739,1.10E+11,486210,,-96.372345,40.746173,NORTHERN NATURAL GAS COMPANY-PALMYRA,,1170 NORTH 10TH ROAD,PALMYRA,NEBRASKA,NE,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,61860,,2013,U.S. EPA GHG Reporting Program,,4149
SWP,1006586,1.10E+11,486210,,-97.24695608,39.54556192,NORTHERN NATURAL GAS-CLIFTON,,2930 GAS CITY ROAD,CLIFTON,KANSAS,KS,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,35392,,2013,U.S. EPA GHG Reporting Program,,4150
MRCSP,1007729,1.10E+11,562212,,-84.80857498,44.04534838,NORTHERN OAKS RECYCLING AND DISPOSAL,,513 NORTH COUNTY FARM ROAD,HARRISON,MICHIGAN,MI,,,WASTE MANAGEMENT,"C,HH",Waste,,552,6590,2013,U.S. EPA GHG Reporting Program,,4151
PCOR,1005276,1.10E+11,212210,,-91.2606,47.286697,NORTHSHORE MINING CO - SILVER BAY,,10 OUTER DRIVE,SILVER BAY,MINNESOTA,MN,,,INDUSTRIAL,"C,Q",Metals,,867767,,2013,U.S. EPA GHG Reporting Program,,4152
PCOR,1005020,1.10E+11,325193,,-94.2757,44.1008,NORTHSTAR ETHANOL LLC,,19200-499TH AVE,LAKE CRYSTAL,MINNESOTA,MN,,,ETHANOL,C,Other,,81046,,2013,U.S. EPA GHG Reporting Program,,4153
BSCSP,1007134,1.10E+11,486210,,-114.886365,42.70980944,NORTHWEST PIPELINE GP - BUHL C/S,,4898 NORTH 800 EAST,BUHL,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,16379,,2013,U.S. EPA GHG Reporting Program,,4154
BSCSP,1007342,1.10E+11,486210,,-114.0481805,42.48163962,NORTHWEST PIPELINE GP - BURLEY C/S,,359 S. 1300 W.,MURTAUGH,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,17783,,2013,U.S. EPA GHG Reporting Program,,4155
SECARB,1007921,1.10E+11,331111,,-89.72364174,35.94439466,NUCOR STEEL - ARKANSAS,,7301 EAST COUNTY ROAD 142,BLYTHEVILLE,ARKANSAS,AR,,,INDUSTRIAL,"C,Q",Metals,,362751,,2013,U.S. EPA GHG Reporting Program,,4156
BSCSP,1007451,1.10E+11,486210,,-112.0907508,42.63070463,NORTHWEST PIPELINE GP - LAVA HOT SPRINGS C/S,,6680 E. OLD OREGON ROAD,TOPAZ,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,14912,,2013,U.S. EPA GHG Reporting Program,,4157
BSCSP,1007450,1.10E+11,486210,,-110.4043015,41.74937631,NORTHWEST PIPELINE GP - MUDDY CREEK C/S,,1401 WAGON WHEEL ROAD,KEMMERER,WYOMING,WY,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,24716,,2013,U.S. EPA GHG Reporting Program,,4158
BSCSP,1007012,1.10E+11,486210,,-111.159342,42.12365325,NORTHWEST PIPELINE GP - PEGRAM C/S,,1579 SORENSON ROAD,PEGRAM,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,8685,,2013,U.S. EPA GHG Reporting Program,,4159
BSCSP,1007070,1.10E+11,486210,,-112.6996672,42.81764184,NORTHWEST PIPELINE GP - POCATELLO C/S,,2605 SOUTH GAS PLANT ROAD,POCATELLO,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,13629,,2013,U.S. EPA GHG Reporting Program,,4160
BSCSP,1007092,1.10E+11,486210,,-122.0582045,47.78837282,NORTHWEST PIPELINE GP - SNOHOMISH C/S,,22902 ECHO LAKE ROAD,SNOHOMISH,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,32566,,2013,U.S. EPA GHG Reporting Program,,4161
BSCSP,1007013,1.10E+11,486210,,-111.4201043,42.54302361,NORTHWEST PIPELINE GP - SODA SPRINGS C/S,,37538 US HWY 30,GEORGETOWN,IDAHO,ID,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,15247,,2013,U.S. EPA GHG Reporting Program,,4162
BSCSP,1009017,1.10E+11,486210,,-120.8001577,45.77686874,NORTHWEST PIPELINE GP GOLDENDALE C/S,,120 HOCTOR ROAD,GOLDENDALE,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,29936,,2013,U.S. EPA GHG Reporting Program,,4163
BSCSP,1008941,1.10E+11,486210,,-109.684752,41.29737782,NORTHWEST PIPELINE GP GREEN RIVER C/S,,"214 COUNTY ROAD #1, MCKINNON ROAD",GREEN RIVER,WYOMING,WY,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,27342,,2013,U.S. EPA GHG Reporting Program,,4164
BSCSP,1009161,1.10E+11,486210,,-122.2571752,48.98806576,NORTHWEST PIPELINE GP MT. VERNON,,1539 LANGE ROAD,MT. VERNON,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,23329,,2013,U.S. EPA GHG Reporting Program,,4165
BSCSP,1009019,1.10E+11,486210,,-120.164,45.8483,NORTHWEST PIPELINE GP ROOSEVELT C/S,,652 SIXPRONG ROAD,BICKLETON,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,25056,,2013,U.S. EPA GHG Reporting Program,,4166
BSCSP,1007513,1.10E+11,486210,,-122.2270462,48.99999076,NORTHWEST PIPELINE GP SUMAS C/S,,4738 JONES RD,SUMAS,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,71662,,2013,U.S. EPA GHG Reporting Program,,4167
BSCSP,1009215,1.10E+11,486210,,-122.36516,45.63236,NORTHWEST PIPELINE GP WASHOUGAL C/S,,1309 NE BROWN ROAD,WASHOUGAL,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,20514,,2013,U.S. EPA GHG Reporting Program,,4168
BSCSP,1009016,1.10E+11,486210,,-121.626,45.7769,NORTHWEST PIPELINE GP WILLARD C/S,,WILLARD RD. MILEPOST 1,COOK,WASHINGTON,WA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,23744,,2013,U.S. EPA GHG Reporting Program,,4169
MRCSP,1007647,1.10E+11,562212,,-79.9200572,41.01840408,NORTHWEST SANI LDFL,,1436 WEST SUNBURY ROAD,WEST SUNBURY,PENNSYLVANIA,PA,,,WASTE MANAGEMENT,"C,HH",Waste,,1576,,2013,U.S. EPA GHG Reporting Program,,4170
SECARB,1007062,1.10E+11,562212,,-89.150851,36.40078,NORTHWEST TENNESSEE LANDFILL,,518 BEECH CHAPEL ROAD,UNION CITY,TENNESSEE,TN,,,WASTE MANAGEMENT,"C,HH",Waste,,23,,2013,U.S. EPA GHG Reporting Program,,4171
MRCSP,1007587,1.10E+11,562212,,-81.494539,39.251849,NORTHWESTERN LANDFILL,,510 EAST DRY RUN ROAD,PARKERSBURG,WEST VIRGINIA,WV,,,WASTE MANAGEMENT,"C,HH",Waste,,1490,,2013,U.S. EPA GHG Reporting Program,,4172
MRCSP,1003098,1.10E+11,325412,,-74.38734743,40.81155225,NOVARTIS PHARMACEUTICALS CORPORATION,,59 ROUTE 10,EAST HANOVER,NEW JERSEY,NJ,,,INDUSTRIAL,C,Chemicals,,26173,247,2013,U.S. EPA GHG Reporting Program,,4173
MRCSP,1004191,1.10E+11,331314,,-84.30889329,37.60167423,NOVELIS ALUMINUM CORPORATION,,302 MAYDE ROAD,BEREA,KENTUCKY,KY,,,INDUSTRIAL,C,Metals,,51068,,2013,U.S. EPA GHG Reporting Program,,4174
SECARB,1003434,1.10E+11,331314,,-83.19764673,33.56016143,NOVELIS CORP - GREENSBORO,,1261 WILLOW RUN RD.,GREENSBORO,GEORGIA,GA,,,INDUSTRIAL,C,Metals,,32172,,2013,U.S. EPA GHG Reporting Program,,4175
MRCSP,1002583,1.10E+11,331315,,-76.45505927,43.49066468,NOVELIS CORPORATION,,448 CO RTE 1A,OSWEGO,NEW YORK,NY,,,INDUSTRIAL,C,Metals,,149485,,2013,U.S. EPA GHG Reporting Program,,4176
WESTCARB,1007749,1.10E+11,221112,,-121.380801,38.09410009,NPCA COMBUSTION TURBINE PROJECT #2,,12745 N THORNTON RD,LODI,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,834,,2013,U.S. EPA GHG Reporting Program,,4177
MRCSP,1000779,1.10E+11,221112,,-79.34728868,42.49032973,NRG DUNKIRK POWER,,106 POINT DRIVE NORTH,DUNKIRK,NEW YORK,NY,,,ELECTRICITY,"C,D",Power Plants,,490782,,2013,U.S. EPA GHG Reporting Program,,4178
WESTCARB,1003978,1.10E+11,221112,,-122.4084982,37.78201599,NRG ENERGY CENTER LLC,,460 JESSIE ST,SAN FRANCISCO,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,63111,,2013,U.S. EPA GHG Reporting Program,,4179
PCOR,1000591,1.10E+11,221112,,-93.268533,44.9734,NRG ENERGY CENTER MINNEAPOLIS,,816 4TH AVENUE SOUTH,MINNEAPOLIS,MINNESOTA,MN,,,INDUSTRIAL,C,Power Plants,,93653,,2013,U.S. EPA GHG Reporting Program,,4180
NATCARB,1000087,1.10E+11,221112,,-75.54690737,39.14839784,NRG ENERGY CENTER DOVER,,1280 W NORTH ST,DOVER,DELAWARE,DE,,,ELECTRICITY,"C,D",Power Plants,,48554,,2013,U.S. EPA GHG Reporting Program,,4181
MRCSP,1005167,1.10E+11,221112,,-76.87643219,40.26582805,NRG ENERGY CENTER HARRISBURG LLC,,100 NORTH 10TH STREET,HARRISBURG,PENNSYLVANIA,PA,,,ELECTRICITY,C,Power Plants,,34988,,2013,U.S. EPA GHG Reporting Program,,4182
PCOR,1004854,1.10E+11,333415,,-95.945426,41.255876,"NRG ENERGY CENTER OMAHA, LLC",,2152 HOWARD ST,OMAHA,NEBRASKA,NE,,,INDUSTRIAL,C,Other,,57101,,2013,U.S. EPA GHG Reporting Program,,4183
MRCSP,1005798,1.10E+11,221112,,-80.01027318,40.46779797,NRG ENERGY CENTER PITTSBURGH LLC,,111 SOUTH COMMONS AVENUE,PITTSBURGH,PENNSYLVANIA,PA,,,ELECTRICITY,C,Power Plants,,36066,,2013,U.S. EPA GHG Reporting Program,,4184
WESTCARB,1005133,1.10E+11,928110,,-117.2081699,32.73533984,NTC/MCRD ENERGY FACILITY,,,SAN DIEGO,CALIFORNIA,CA,,,UNCLASSIFIED,C,Other,,108699,,2013,U.S. EPA GHG Reporting Program,,4185
SECARB,1002266,1.10E+11,331111,,-79.88778073,33.01222841,NUCOR STEEL - BERKELEY,,1455 HAGAN AVENUE,HUGER,SOUTH CAROLINA,SC,,,INDUSTRIAL,"C,Q",Metals,,577608,,2013,U.S. EPA GHG Reporting Program,,4186
SWP,1005777,1.10E+11,331111,,-112.1251489,41.88700918,NUCOR STEEL - UTAH,,7285 W 21200 N,PLYMOUTH,UTAH,UT,,,INDUSTRIAL,"C,Q,TT","Metals,Waste",,158742,,2013,U.S. EPA GHG Reporting Program,,4187
MRCSP,1006341,1.10E+11,331111,,-76.57200227,42.95200857,NUCOR STEEL AUBURN INC,,25 QUARRY ROAD,AUBURN,NEW YORK,NY,,,INDUSTRIAL,"C,Q",Metals,,91138,,2013,U.S. EPA GHG Reporting Program,,4188
SECARB,1004152,1.10E+11,331111,,-86.80911577,33.54531229,NUCOR STEEL BIRMINGHAM INC,,2301 FL SHUTTLESWORTH DRIVE,BIRMINGHAM,ALABAMA,AL,,,INDUSTRIAL,"C,Q",Metals,,44772,,2013,U.S. EPA GHG Reporting Program,,4189
SECARB,1007946,1.10E+11,331111,,-79.89898479,34.37824072,NUCOR STEEL DARLINGTON,,300 STEEL MILL RD,DARLINGTON,SOUTH CAROLINA,SC,,,INDUSTRIAL,"C,Q",Metals,,170823,,2013,U.S. EPA GHG Reporting Program,,4190
SECARB,1005976,1.10E+11,331111,,-87.13231882,34.5746544,NUCOR STEEL DECATUR,,4301 IVERSON BOULEVARD,TRINITY,ALABAMA,AL,,,INDUSTRIAL,"C,Q",Metals,,389803,,2013,U.S. EPA GHG Reporting Program,,4191
SECARB,1002958,1.10E+11,331111,,-76.80964195,36.34268425,NUCOR STEEL HERTFORD COUNTY,,1505 RIVER RD,COFIELD,NORTH CAROLINA,NC,,,INDUSTRIAL,"C,Q",Metals,,351434,,2013,U.S. EPA GHG Reporting Program,,4192
SECARB,1006144,1.10E+11,331111,,-90.13889464,32.31222791,NUCOR STEEL JACKSON INC,,3630 4TH STREET,FLOWOOD,MISSISSIPPI,MS,,,INDUSTRIAL,"C,Q",Metals,,69255,,2013,U.S. EPA GHG Reporting Program,,4193
MRCSP,1007577,1.10E+11,331111,,-83.13880415,40.57070785,"NUCOR STEEL MARION, INC. (0351010017)",,912 CHENEY AVE,MARION,OHIO,OH,,,INDUSTRIAL,"C,Q",Metals,,58698,,2013,U.S. EPA GHG Reporting Program,,4194
SECARB,1003093,1.10E+11,331111,,-90.1750058,35.05417247,NUCOR STEEL MEMPHIS INC,,3601 PAUL R LOWRY ROAD,MEMPHIS,TENNESSEE,TN,,,INDUSTRIAL,"C,Q",Metals,,103034,,2013,U.S. EPA GHG Reporting Program,,4195
PCOR,1007695,1.10E+11,331111,,-97.361082,42.079107,NUCOR STEEL NEBRASKA,,2911 EAST NUCOR ROAD,NORFOLK,NEBRASKA,NE,,,INDUSTRIAL,"C,Q",Metals,,189220,,2013,U.S. EPA GHG Reporting Program,,4196
BSCSP,1000029,1.10E+11,331111,,-122.3635788,47.56835367,NUCOR STEEL SEATTLE INC,,2424 SOUTHWEST ANDOVER STREET,SEATTLE,WASHINGTON,WA,,,INDUSTRIAL,"C,Q",Metals,,128672,,2013,U.S. EPA GHG Reporting Program,,4197
SECARB,1005832,1.10E+11,331111,,-96.13780518,31.3663825,NUCOR STEEL-TEXAS,,8812 US HIGHWAY 79 S,JEWETT,TEXAS,TX,,,INDUSTRIAL,"C,Q",Metals,,167136,,2013,U.S. EPA GHG Reporting Program,,4198
SECARB,1007642,1.10E+11,331111,,-89.90682769,35.93238745,NUCOR-YAMATO STEEL CO,,5929 E. STATE HWY. 18,BLYTHEVILLE,ARKANSAS,AR,,,INDUSTRIAL,"C,Q",Metals,,523237,,2013,U.S. EPA GHG Reporting Program,,4199
PCOR,1004765,1.10E+11,325193,,-97.2589,43.4322,NUGEN ENERGY LLC,,27283 447TH AVE.,MARION,SOUTH DAKOTA,SD,,,ETHANOL,"C,II","Other,Waste",,161994,172,2013,U.S. EPA GHG Reporting Program,,4200
BSCSP,1002982,1.10E+11,211112,,-112.5348656,46.01379356,NWE/OMIMEX NGL PLANT (CUT BANK),,40 E. BROADWAY,BUTTE,MONTANA,MT,,,PETROLEUM/NATURAL GAS,"NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,37,,2013,U.S. EPA GHG Reporting Program,,4201
MRCSP,1009700,1.10E+11,561210,,-73.89050127,40.76729825,NYC-DOC RIKERÃ‚Â€Â™S ISLAND,,17-25 HAZEN ST,EAST ELMHURST,NEW YORK,NY,,,UNCLASSIFIED,C,Other,,23511,,2013,U.S. EPA GHG Reporting Program,,4202
MRCSP,1003824,1.10E+11,921190,,-73.75392034,42.65471162,NYS OGS SHERIDAN STEAM PLANT,,79 SHERIDAN AVENUE,ALBANY,NEW YORK,NY,,,UNCLASSIFIED,C,Other,,71657,,2013,U.S. EPA GHG Reporting Program,,4203
SECARB,1000172,1.10E+11,221112,,-94.89659489,31.83352364,NACOGDOCHES POWER LLC,,499 COUNTY ROAD 988,CUSHING,TEXAS,TX,,,ELECTRICITY,D,Power Plants,,676,114413,2013,U.S. EPA GHG Reporting Program,,4204
SECARB,1003559,1.10E+11,211111,,-88.28879397,28.52115014,"NAKIKA, MMS PLATFORM ID 02481, COMPLEX ID 1001-1",,,OFFSHORE,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,"C,W-OFFSH",Petroleum and Natural Gas Systems,,99150,,2013,U.S. EPA GHG Reporting Program,,4205
SECARB,1007855,1.10E+11,562212,,-81.657891,26.165868,NAPLES LANDFILL,,3750 WHITE LAKE BOULEVARD,NAPLES,FLORIDA,FL,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,4206
MRCSP,1000763,1.10E+11,221112,,-74.0208713,40.64873823,NARROWS,,53RD ST AND 1ST AVE,BROOKLYN,NEW YORK,NY,,,ELECTRICITY,C,Power Plants,,112209,,2013,U.S. EPA GHG Reporting Program,,4207
MRCSP,1001260,1.10E+11,221112,,-73.58919392,40.72646615,NASSAU ENERGY CORPORATION,,185 CHARLES LINDBERGH BLVD,GARDEN CITY,NEW YORK,NY,,,ELECTRICITY,C,Power Plants,,228288,,2013,U.S. EPA GHG Reporting Program,,4208
WESTCARB,1006568,1.10E+11,311611,,-115.5200116,32.99589491,"NATIONAL BEEF CALIFORNIA, LP",,57 E. SHANK ROAD,BRAWLEY,CALIFORNIA,CA,,,AG PROCESSING,C,Other,,24662,12736,2013,U.S. EPA GHG Reporting Program,,4209
SECARB,1001776,1.10E+11,211111,,-95.46730315,30.12620047,"NANSEN SPAR, EAST BREAKS 602 PLATFORM",,,OFFSHORE,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-OFFSH",Petroleum and Natural Gas Systems,,68046,,2013,U.S. EPA GHG Reporting Program,,4210
SWP,1008205,1.10E+11,211111,,-109.5241411,40.36160621,NATURAL BUTTES COMPRESSOR STATION,,1176 EAST 1500 SOUTH,VERNAL,UTAH,UT,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,27890,,2013,U.S. EPA GHG Reporting Program,,4211
